Date,Close/Last,Volume,Open,High,Low
05/06/2021,2511.00,2,2494.75,2494.75,2494.75
05/05/2021,2464.25,24,2455.50,2455.50,2453.00
05/04/2021,2415.75,N/A,2415.75,2415.75,2415.75
05/03/2021,2415.75,N/A,2415.75,2415.75,2415.75
04/30/2021,2415.75,N/A,2415.75,2415.75,2415.75
04/29/2021,2441.00,3,2413.75,2419.00,2411.25
04/28/2021,2408.75,13,2405.00,2418.00,2405.00
04/27/2021,2411.50,25,2411.00,2411.00,2408.00
04/26/2021,2392.25,N/A,2392.25,2392.25,2392.25
04/23/2021,2419.50,26,2401.00,2401.00,2392.25
04/22/2021,2382.75,2,2385.25,2385.25,2374.50
04/21/2021,2391.25,5,2341.00,2341.00,2340.00
04/20/2021,2332.75,3,2356.75,2356.75,2337.00
04/19/2021,2352.75,37,2371.25,2371.25,2366.50
04/16/2021,2341.75,N/A,2341.75,2341.75,2341.75
04/15/2021,2361.00,8,2366.00,2361.00,2361.00
04/14/2021,2348.50,215,2330.25,2349.00,2325.75
04/13/2021,2316.50,1116,2303.00,2316.50,2303.00
04/12/2021,2282.00,1229,2282.00,2289.75,2281.50
04/09/2021,2278.75,80,2293.25,2293.25,2276.75
04/08/2021,2302.50,685,2288.00,2303.00,2288.00
04/07/2021,2278.25,490,2279.25,2280.00,2264.75
04/06/2021,2285.75,832,2274.00,2277.50,2277.50
04/05/2021,2246.25,N/A,2246.25,2246.25,2246.25
04/01/2021,2246.50,1150,2247.25,2251.50,2244.50
03/31/2021,2227.00,N/A,2227.00,2227.00,2227.00
03/30/2021,2249.25,1,2246.50,2246.50,2246.50
03/29/2021,2289.50,48,2305.50,2306.25,2286.00
03/26/2021,2307.50,14,2284.50,2302.75,2284.50
03/25/2021,2259.00,366,2250.75,2266.75,2253.50
03/24/2021,2260.25,145,2264.75,2274.00,2263.00
03/23/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/22/2021,2295.25,294,2300.25,2315.75,2289.75
03/19/2021,2268.00,710,2240.00,2303.25,2240.00
03/18/2021,2244.25,289,2243.50,2252.75,2237.25
03/17/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/16/2021,2223.25,284,2240.75,2245.50,2216.50
03/15/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/12/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/11/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/10/2021,2192.75,431,2204.50,2204.50,2190.50
03/09/2021,2190.50,454,2165.50,2195.25,2165.50
03/08/2021,2196.00,94,2207.00,2207.00,2178.25
03/05/2021,2200.25,187,2196.50,2203.50,2174.25
03/04/2021,2191.50,227,2198.75,2201.75,2166.25
03/03/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/02/2021,2205.25,N/A,2205.25,2205.25,2205.25
03/01/2021,2205.25,N/A,2205.25,2205.25,2205.25
02/26/2021,2205.25,N/A,2205.25,2205.25,2205.25
02/25/2021,2205.25,N/A,2205.25,2205.25,2205.25
02/24/2021,2205.25,N/A,2205.25,2205.25,2205.25
02/23/2021,2248.50,N/A,2248.50,2248.50,2248.50
02/22/2021,2167.00,N/A,2167.00,2167.00,2167.00
02/19/2021,2132.00,N/A,2132.00,2132.00,2132.00
02/18/2021,2141.50,N/A,2141.50,2141.50,2141.50
02/17/2021,2116.25,N/A,2116.25,2116.25,2116.25
02/16/2021,2083.00,N/A,2083.00,2083.00,2083.00
02/12/2021,2091.75,N/A,2091.75,2091.75,2091.75
02/11/2021,2084.00,N/A,2084.00,2084.00,2084.00
02/10/2021,2080.75,N/A,2080.75,2080.75,2080.75
02/09/2021,2063.50,N/A,2063.50,2063.50,2063.50
02/08/2021,2035.50,N/A,2035.50,2035.50,2035.50
02/05/2021,2025.75,N/A,2025.75,2025.75,2025.75
02/04/2021,2001.25,10,1989.50,1989.50,1985.75
02/03/2021,1986.75,5,1971.75,1971.75,1971.75
02/02/2021,1979.75,N/A,1979.75,1979.75,1979.75
02/01/2021,1976.00,N/A,1976.00,1976.00,1976.00
01/29/2021,1995.00,N/A,1995.00,1995.00,1995.00
01/28/2021,2006.75,N/A,2006.75,2006.75,2006.75
01/27/2021,2006.75,N/A,2006.75,2006.75,2006.75
01/26/2021,2030.25,5,2027.50,2027.50,2027.50
01/25/2021,2026.50,N/A,2026.50,2026.50,2026.50
01/22/2021,2004.75,N/A,2004.75,2004.75,2004.75
01/21/2021,2011.00,10,2005.50,2008.25,2005.00
01/20/2021,1987.00,4,1984.50,1995.25,1984.50
01/19/2021,1967.50,34,1963.50,1964.00,1963.50
01/15/2021,1984.75,44,1984.75,1984.75,1984.75
01/14/2021,2009.25,26,2013.00,2013.00,2009.25
01/13/2021,2015.75,20,2016.75,2018.25,2016.50
01/12/2021,2023.75,63,2022.00,2028.00,2022.00
01/11/2021,2006.50,145,2008.50,2008.50,2001.00
01/08/2021,2023.75,255,2034.00,2034.00,2017.50
01/07/2021,2040.75,319,2046.00,2054.25,2023.00
01/06/2021,2039.50,293,2076.00,2076.75,2038.50
01/05/2021,2051.50,156,2046.75,2052.25,2045.50
01/04/2021,2047.50,100,2023.25,2048.50,2023.25
12/31/2020,2024.00,N/A,2024.00,2024.00,2024.00
12/30/2020,2024.00,N/A,2024.00,2024.00,2024.00
12/29/2020,2014.25,70,2010.50,2014.25,2009.50
12/28/2020,2037.00,N/A,2037.00,2037.00,2037.00
12/24/2020,2037.00,N/A,2037.00,2037.00,2037.00
12/23/2020,2037.00,N/A,2037.00,2037.00,2037.00
12/22/2020,2017.25,8,2017.25,2017.25,2017.25
12/21/2020,2045.00,63,2065.50,2065.50,2038.25
12/18/2020,2075.00,1,2071.50,2071.50,2071.50
12/17/2020,2065.25,N/A,2065.25,2065.25,2065.25
12/16/2020,2048.50,N/A,2048.50,2048.50,2048.50
12/15/2020,2034.25,N/A,2034.25,2034.25,2034.25
12/14/2020,2034.75,N/A,2034.75,2034.75,2034.75
12/11/2020,2060.25,10,2040.25,2040.25,2034.75
12/10/2020,2065.00,12,2065.00,2065.00,2065.00
12/09/2020,2045.00,32,2034.50,2034.50,2034.00
12/08/2020,2001.25,35,2005.00,2012.00,2000.00
12/07/2020,2025.75,28,2023.00,2023.00,2022.75
12/04/2020,2051.50,25,2057.50,2057.50,2056.25
12/03/2020,2034.75,N/A,2034.75,2034.75,2034.75
12/02/2020,2068.25,156,2074.50,2074.75,2038.00
12/01/2020,2062.50,54,2061.50,2064.75,2061.50
11/30/2020,2039.50,5,2032.75,2032.75,2032.75
11/26/2020,1984.25,N/A,1984.25,1984.25,1984.25
11/25/2020,1987.50,43,1990.00,1990.00,1979.00
11/24/2020,1982.00,56,1973.00,1982.50,1981.50
11/23/2020,1969.50,95,1991.75,1970.00,1968.50
11/20/2020,1993.75,101,2002.50,2007.50,1993.75
11/19/2020,1993.00,146,1996.00,2002.25,1991.00
11/18/2020,1983.25,N/A,1983.25,1983.25,1983.25
11/17/2020,1983.25,N/A,1983.25,1983.25,1983.25
11/16/2020,1998.50,222,1950.00,1969.00,1950.00
